id,slug,name,brand,sku,category_id,description,mrp,selling_price,discount_pct,stock_qty,availability,is_new,is_bestseller,is_trending,rating_avg,rating_count,created_at
7e3d128e-7a2e-49ae-8b4c-37ca12eb3132,primary-navy-blue-solid-2-piece-suit-set-of-2,Primary Navy Blue Solid 2 Piece Suit Set Of 2,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Primary Navy Blue Solid 2 Piece Suit Set Of 2 from BUTTERBYTE STORE — a meticulously crafted two-piece suit designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined navy blue finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for formal events, business meetings, and special occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",10000.00,8000.00,20,25,In Stock,t,f,f,3.5,21,2026-05-31 14:37:06.353669+00
4b37019f-8a03-4aab-a4b0-52efe76f2be4,men-tuxedo-style-black-blazer-with-pant,Men Tuxedo Style Black Blazer With Pant,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Men Tuxedo Style Black Blazer With Pant from BUTTERBYTE STORE — a meticulously crafted tuxedo designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined black finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for weddings, receptions, and black-tie occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",3650.00,2950.00,19,25,In Stock,t,f,f,3.5,21,2026-05-31 14:38:07.371036+00
115da175-dfaa-45a0-821c-63714ed70a95,carnival-blazer-with-shirt-trouser-set-of-3,Carnival Blazer With Shirt Trouser Set Of 3,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Carnival Blazer With Shirt Trouser Set Of 3 from BUTTERBYTE STORE — a meticulously crafted blazer set designed for the modern Indian gentleman. Tailored from premium suiting fabric, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for formal events, business meetings, and special occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",3600.00,2900.00,19,25,In Stock,t,f,f,3.5,21,2026-05-31 14:38:07.371036+00
2ede46c3-943a-4883-9368-0996e759589e,subtract-men-black-single-breasted-solid-blaz,Subtract Men Black Single Breasted Solid Blaz,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Subtract Men Black Single Breasted Solid Blaz from BUTTERBYTE STORE — a meticulously crafted tailored suit designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined black finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for formal events, business meetings, and special occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",3500.00,2800.00,20,25,In Stock,t,f,f,5.0,35,2026-05-31 14:38:07.371036+00
75054fe5-105f-4285-9db3-1d1b1d0a5d63,embroidered-suit-set-of-2,Embroidered Suit Set Of 2,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Embroidered Suit Set Of 2 from BUTTERBYTE STORE — a meticulously crafted two-piece suit designed for the modern Indian gentleman. Tailored from premium suiting fabric, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for weddings, receptions, and black-tie occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",10000.00,8000.00,20,25,In Stock,t,f,f,3.5,21,2026-05-31 14:38:07.371036+00
a7e03f99-bc20-4ce0-bf5b-c0b3d7077d22,brown-tailored-fit-ceremonial-blazer-with-waistcoat-pant-set-of-3,Brown Tailored Fit Ceremonial Blazer With Waistcoat Pant Set Of 3,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Brown Tailored Fit Ceremonial Blazer With Waistcoat Pant Set Of 3 from BUTTERBYTE STORE — a meticulously crafted blazer set designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined brown finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for weddings, receptions, and black-tie occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",7100.00,5700.00,20,25,In Stock,t,f,f,3.5,21,2026-05-31 14:38:07.371036+00
b261f3e0-4033-491e-9928-82b48ad8a1bb,blue-velvet-collar-neck-embroidered-jacket-with-vest-and-pant,Blue Velvet Collar Neck Embroidered Jacket With Vest And Pant,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Blue Velvet Collar Neck Embroidered Jacket With Vest And Pant from BUTTERBYTE STORE — a meticulously crafted tailored suit designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined blue finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for weddings, receptions, and black-tie occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",3350.00,2700.00,19,25,In Stock,t,f,f,5.0,35,2026-05-31 14:38:07.371036+00
cb695385-4662-4782-99dd-9aada25b0869,black-embroidered-tuxedo-blazer-with-pant,Black Embroidered Tuxedo Blazer With Pant,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Black Embroidered Tuxedo Blazer With Pant from BUTTERBYTE STORE — a meticulously crafted tuxedo designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined black finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for weddings, receptions, and black-tie occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",3300.00,2650.00,20,25,In Stock,t,f,f,4.0,28,2026-05-31 14:38:07.371036+00
afc6239f-164a-4822-ae35-e9fb92911e68,men-tailored-fit-heathered-grey-suit,Men Tailored Fit Heathered Grey Suit,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Men Tailored Fit Heathered Grey Suit from BUTTERBYTE STORE — a meticulously crafted tailored suit designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined grey finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for formal events, business meetings, and special occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",6850.00,5500.00,20,25,In Stock,t,f,f,4.0,28,2026-05-31 14:38:07.371036+00
8b0f975f-ddf1-43ae-afe9-8a97d08e588c,ahi-clothing-dark-purple-embellished-coat-and,Ahi Clothing Dark Purple Embellished Coat And,BUTTERBYTE STORE,,d5ce200a-cd25-4a93-8ec1-851dbaa9a41c,"Elevate your formalwear with the Ahi Clothing Dark Purple Embellished Coat And from BUTTERBYTE STORE — a meticulously crafted tailored suit designed for the modern Indian gentleman. Tailored from premium suiting fabric with a refined purple finish, this set offers a sharp silhouette, structured shoulders, and a flattering fit that drapes effortlessly. Perfect for weddings, receptions, and black-tie occasions, it pairs beautifully with leather oxfords, a crisp pocket square, and minimal accessories for an effortlessly polished look. Features include precision stitching, premium lining, functional buttons, and durable construction for long-lasting wear. Dry-clean only to preserve the fabric and finish.",3150.00,2550.00,19,25,In Stock,t,f,f,4.0,28,2026-05-31 14:38:07.371036+00
